,0,0,0
362,2018-05-11T13:10:28.38,Randy_Randerson322,you need removal
363,2018-05-11T13:10:29.89,lightshad3z,ass Kreygasm
364,2018-05-11T13:10:31.22,Customeyes,5
365,2018-05-11T13:10:34.82,leon200101,take the ASS
366,2018-05-11T13:10:37.03,C0RNDOG,!logs imarat
367,2018-05-11T13:10:37.0,iZoly_,gachiGASM
368,2018-05-11T13:10:37.41,StreamElements,https://cbenni.com/amazhs
369,2018-05-11T13:10:37.53,flippzii,You got so many cards to spend? what
370,2018-05-11T13:10:37.58,Talynpl,"@AmazHS 19 June, so mark that"
371,2018-05-11T13:10:40.7,guydewer,scamaz Kreygasm
372,2018-05-11T13:10:42.30,nelson4hs,Ass!
373,2018-05-11T13:10:46.23,Survivors125,monkaStare
374,2018-05-11T13:10:48.76,BIG_ZENG,my @ are highlighted WutFace
375,2018-05-11T13:10:49.28,guydewer,Hearthstone is still a thing?
376,2018-05-11T13:10:49.42,bugis93,rimleader Kreygasm
377,2018-05-11T13:10:50.08,daemomcheg,@AmazHS retire rogue LUL
378,2018-05-11T13:10:51.66,Stripsel,he's CRAZY D:
379,2018-05-11T13:10:53.18,72oxDays,hes not an ass guy
380,2018-05-11T13:10:54.90,kevandaweeb,monkaGun
381,2018-05-11T13:11:00.10,Lekar624,You should draft an all RNG deck sometime.
382,2018-05-11T13:11:07.30,flippzii,for SMOrc
383,2018-05-11T13:11:09.75,sherman0288,Of course death speaker buddy
384,2018-05-11T13:11:17.35,rabiet98,deathspeaker can give you board advantage
385,2018-05-11T13:11:19.58,sunglitters,I like deathspeaker
386,2018-05-11T13:11:23.33,Agera153,":thinking: 30 COC deck, 30 FOK deck, or 30 ASS deck, which is better? :thinking:"
387,2018-05-11T13:11:24.89,lightshad3z,deathspeaker pls
388,2018-05-11T13:11:29.46,spikebaal,Cutlass value
389,2018-05-11T13:11:38.16,BIG_ZENG,monkaStare hey
390,2018-05-11T13:11:43.92,Kel_Ebek,why no shiv?
391,2018-05-11T13:11:47.02,vincent_arab,TriHard
392,2018-05-11T13:11:48.21,nighthawk745,yes ? monkaStare
393,2018-05-11T13:11:48.72,Skaayzer,god thanks amaz live POGGERS
394,2018-05-11T13:11:48.88,nevermore8,OMEGALUL
395,2018-05-11T13:11:48.91,SebiMk,30 COC deck is best out of those 3
396,2018-05-11T13:11:49.11,Threetreetri3,Sonic Boom amazBASS
397,2018-05-11T13:11:50.91,olinclusive,acab
